CountryAbbreviation,Medal,MedalCount
TUR,Silver,11
UAE,Bronze,5
UAE,Gold,3
UAE,Silver,7
UGA,Silver,1
UKR,Bronze,154
UKR,Gold,124
UKR,Silver,111
URS,Bronze,15
URS,Gold,21
URS,Silver,20
URU,Bronze,1
USA,Bronze,628
USA,Gold,701
USA,Silver,572
UZB,Bronze,13
UZB,Gold,5
UZB,Silver,5
VEN,Bronze,11
VEN,Silver,8
VIE,Bronze,2
VIE,Gold,1
VIE,Silver,1
YUG,Bronze,33
YUG,Gold,24
YUG,Silver,26
ZIM,Bronze,5
ZIM,Gold,2
ZIM,Silver,8
